Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
leather-slide-sandal,,,,,,,,,Cracked Gold,,40,,,'845175060615,544.310844,shopify,deny,manual,160.00,,true,true,'845175060615,https://cdn.shopify.com/s/files/1/1796/0497/products/2_010783af-4a29-4e69-aa4f-84c1a2c7fde2.png?v=1649176265,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_pair_2048x2048_1.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Cracked Gold,,41,,,'845175060622,544.310844,shopify,deny,manual,160.00,,true,true,'845175060622,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_pair_2048x2048_1.jpg?v=1649176265,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_pair_2048x2048_1.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Stamped Natural,,36,,,'845175060813,544.310844,shopify,deny,manual,160.00,,true,true,'845175060813,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_714_CrackedGold_side_2048x2048_bcae5691-6ab0-4835-8a41-5455ab186012.jpg?v=1649176265,7,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_pair_2048x2048_924c6c39-6895-4e08-8006-4d02a3fe4302.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Stamped Natural,,37,,,'845175060820,544.310844,shopify,deny,manual,160.00,,true,true,'845175060820,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlideLES_714_CrackedGold_single_2048x2048_acb47e95-d0ff-4d68-9476-e8200b45a7a1.jpg?v=1649176265,8,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_pair_2048x2048_924c6c39-6895-4e08-8006-4d02a3fe4302.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Stamped Natural,,38,,,'845175060837,544.310844,shopify,deny,manual,160.00,,true,true,'845175060837,https://cdn.shopify.com/s/files/1/1796/0497/products/Untitleddesign_3_73a7b00a-51d9-4b03-aac4-a606fd9d15bf.png?v=1649176265,9,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_pair_2048x2048_924c6c39-6895-4e08-8006-4d02a3fe4302.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Stamped Natural,,39,,,'845175060844,544.310844,shopify,deny,manual,160.00,,true,true,'845175060844,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_pair_2048x2048_924c6c39-6895-4e08-8006-4d02a3fe4302.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Stamped Natural,,40,,,'845175060851,544.310844,shopify,deny,manual,160.00,,true,true,'845175060851,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_pair_2048x2048_924c6c39-6895-4e08-8006-4d02a3fe4302.jpg?v=1649176265,lb,,,
leather-slide-sandal,,,,,,,,,Stamped Natural,,41,,,'845175060868,544.310844,shopify,deny,manual,160.00,,true,true,'845175060868,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/LeatherSlide_LES_232_StampedNatural_pair_2048x2048_924c6c39-6895-4e08-8006-4d02a3fe4302.jpg?v=1649176265,lb,,,
fringe-bag,Fringe Bag,"<p>Handwoven raffia bag with leather fringe, lined and featuring internal pockets. Perfect carryall for the beach to the street</p>
<ul>
<li>20"" length by 15"" height</li>
</ul>",Cocobelle,,Bags,"Beach Bag, Full Price Accessories, Gift Guide, Leather Bag, Raffia",true,Color,GRAY,Size,OS,,,'845175036535,680.388555,shopify,deny,manual,199.00,,true,false,'845175036535,https://cdn.shopify.com/s/files/1/1796/0497/products/VIV5001020grayFRONT.jpg?v=1654186777,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/VIV5001020grayFRONT.jpg?v=1654186777,lb,,,active
fringe-bag,,,,,,,,,IVORY,,OS,,,'845175036542,680.388555,shopify,deny,manual,199.00,,true,false,'845175036542,https://cdn.shopify.com/s/files/1/1796/0497/products/VIV5001101ivoryFRONT.jpg?v=1654186777,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/VIV5001101ivoryFRONT.jpg?v=1654186777,lb,,,
